Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Jrue Holiday,BOS,62,47,15,30.6,11701.6,2.22,1.15,1.06,4.14,4.24,4.03,3.57,1.85,1.71,6.66,6.82,6.49,35,107.7,3.0,9.1,13.6,1.1,23.2,0.4,12.0,8.6,8.3,9.2,29.7,0.136,5.1,2.8,2.4,4.2,2.18,2.01
Cason Wallace,OKC,68,55,13,27.6,11291.4,2.14,1.07,1.06,4.34,4.52,4.18,3.44,1.72,1.71,6.98,7.27,6.73,21,107.1,2.3,7.9,12.1,1.8,28.4,0.5,14.8,7.1,8.7,7.6,24.9,0.126,5.2,1.8,3.4,4.49,2.24,2.23
Stephen Curry,GSW,70,41,29,32.2,12863.2,2.44,1.37,1.06,4.26,4.83,3.7,3.93,2.2,1.71,6.86,7.77,5.95,37,112.7,3.9,11.8,17.5,1.1,17.6,0.4,14.0,11.2,8.4,10.9,31.6,0.095,7.9,5.2,2.7,4.39,2.46,1.91
Alperen Sengun,HOU,76,52,24,31.5,11788.5,2.23,1.17,1.06,3.97,4.07,3.87,3.59,1.88,1.71,6.39,6.55,6.23,22,107.4,6.9,21.0,30.7,1.1,20.6,0.8,25.7,9.9,8.8,9.3,31.7,0.139,,,,4.1,2.15,1.95
Kyle Kuzma,MIL,65,25,40,29.8,12047.1,2.28,1.23,1.05,4.31,4.65,3.97,3.67,1.98,1.69,6.94,7.48,6.39,29,116.1,4.9,15.5,22.9,0.6,12.4,0.3,11.8,11.6,8.7,11.2,31.2,0.059,-0.9,-2.3,1.3,4.43,2.39,2.04
Anthony Davis,DAL,51,30,21,33.4,11785.7,2.23,1.18,1.05,3.75,3.91,3.59,3.59,1.9,1.69,6.04,6.29,5.78,32,112.9,8.9,25.4,38.1,1.2,22.4,2.2,52.6,11.3,10.1,11.2,35.1,0.094,6.7,3.7,3.0,3.87,2.05,1.82
Luguentz Dort,OKC,71,57,14,29.2,11297.3,2.14,1.09,1.05,4.12,4.3,3.94,3.44,1.75,1.69,6.63,6.92,6.34,26,107.3,2.9,9.3,14.0,1.1,17.4,0.5,15.0,7.8,9.0,8.0,26.9,0.13,5.6,2.4,3.2,4.24,2.16,2.08
Keyonte George,UTA,67,13,54,31.5,12247.9,2.32,1.27,1.05,4.1,4.35,3.84,3.73,2.04,1.69,6.6,7.0,6.18,21,122.0,3.4,10.4,16.2,0.7,16.1,0.1,4.6,14.5,10.8,13.5,35.7,0.007,1.1,0.9,0.1,4.26,2.33,1.93
Brook Lopez,MIL,80,47,33,31.8,11535.6,2.18,1.13,1.05,3.88,3.99,3.78,3.51,1.82,1.69,6.24,6.42,6.08,37,112.7,3.6,10.7,15.3,0.6,13.3,1.9,56.5,10.5,8.7,10.8,31.3,0.092,6.6,3.6,2.9,3.97,2.06,1.91
Deni Avdija,POR,72,33,39,30.0,11868.2,2.25,1.2,1.05,4.2,4.5,3.9,3.62,1.93,1.69,6.76,7.24,6.28,24,114.5,5.7,19.0,29.0,1.0,20.4,0.5,15.0,11.1,9.1,11.0,29.6,0.072,5.6,3.1,2.5,4.34,2.32,2.03
Isaiah Hartenstein,OKC,57,49,8,27.9,11631.3,2.2,1.16,1.04,4.44,4.76,4.12,3.54,1.87,1.67,7.15,7.66,6.63,27,105.3,7.9,26.2,38.3,0.8,14.7,1.1,34.3,7.2,8.1,7.5,24.7,0.14,6.8,3.2,3.6,4.57,2.41,2.15
Jaren Jackson Jr.,MEM,74,42,32,29.8,11564.0,2.19,1.15,1.04,4.16,4.52,3.81,3.52,1.85,1.67,6.69,7.27,6.13,25,108.8,4.4,13.4,19.9,1.2,22.9,1.5,40.9,11.1,8.6,10.1,27.8,0.121,6.4,3.2,3.2,4.25,2.23,2.02
LeBron James,LAL,70,44,26,34.9,12004.7,2.27,1.23,1.04,3.64,3.89,3.39,3.65,1.98,1.67,5.86,6.26,5.46,40,114.0,6.8,18.7,28.5,1.0,18.6,0.6,17.1,12.5,10.5,12.1,36.0,0.09,7.7,4.9,2.8,3.77,2.04,1.72
Donovan Mitchell,CLE,71,55,16,31.4,11939.7,2.26,1.22,1.04,4.02,4.58,3.51,3.64,1.96,1.67,6.47,7.37,5.65,28,109.1,3.7,11.2,16.9,1.3,23.5,0.2,7.9,9.6,8.8,9.0,29.6,0.125,7.6,4.8,2.8,4.17,2.25,1.91
Scoot Henderson,POR,66,30,36,26.6,11120.8,2.11,1.08,1.03,4.41,4.62,4.21,3.4,1.74,1.66,7.1,7.44,6.78,21,113.7,2.2,8.3,13.1,1.0,21.7,0.2,7.2,11.4,8.6,9.1,26.8,0.07,1.8,0.4,1.4,4.6,2.35,2.25
Davion Mitchell,MIA,74,25,49,27.4,11083.6,2.1,1.08,1.02,4.29,4.46,4.13,3.38,1.74,1.64,6.9,7.18,6.65,26,110.7,1.8,6.3,9.6,1.0,20.4,0.2,8.4,9.4,7.6,8.0,27.4,0.096,3.0,1.3,1.6,4.44,2.29,2.15
Jarrett Allen,CLE,82,64,18,28.0,10953.0,2.07,1.07,1.01,4.17,4.45,3.92,3.33,1.72,1.63,6.71,7.16,6.31,27,111.3,7.1,23.8,35.4,0.9,18.2,0.9,38.6,9.6,7.9,10.1,28.6,0.093,11.6,7.6,4.0,4.28,2.21,2.1
Onyeka Okongwu,ATL,74,35,39,27.9,10958.3,2.08,1.07,1.01,4.17,4.52,3.85,3.35,1.72,1.63,6.71,7.27,6.2,24,113.7,5.9,21.3,31.9,0.9,15.8,0.9,30.8,11.4,7.5,9.6,29.0,0.073,7.2,4.9,2.3,4.32,2.22,2.1
James Harden,LAC,79,50,29,35.3,11714.5,2.22,1.21,1.01,3.52,3.75,3.27,3.57,1.95,1.63,5.66,6.04,5.26,35,109.2,5.1,14.3,20.7,1.5,22.0,0.7,21.4,12.9,8.9,11.0,34.1,0.138,8.3,4.0,4.3,3.64,1.99,1.66
Dennis Schröder,DET,75,37,38,28.1,11609.9,2.2,1.19,1.01,4.36,4.64,4.07,3.54,1.92,1.63,7.02,7.47,6.55,31,112.8,2.3,8.0,12.5,0.9,21.0,0.2,5.6,10.0,8.2,8.5,28.8,0.081,3.2,1.5,1.7,4.54,2.46,2.09
Dorian Finney-Smith,LAL,63,36,27,28.9,11371.8,2.15,1.14,1.01,4.17,4.32,4.02,3.46,1.83,1.63,6.71,6.95,6.47,32,110.3,2.7,8.9,13.6,0.9,19.2,0.4,15.1,9.6,8.7,8.3,28.8,0.103,2.9,1.5,1.4,4.31,2.28,2.03
Zaccharie Risacher,ATL,75,38,37,24.6,10940.2,2.07,1.07,1.0,4.79,5.19,4.43,3.33,1.72,1.61,7.71,8.35,7.13,20,115.0,2.4,9.9,14.7,0.7,13.1,0.5,18.9,10.2,6.8,9.3,26.9,0.055,1.8,0.6,1.1,4.87,2.52,2.36
Alex Sarr,WAS,67,13,54,27.1,11173.5,2.12,1.12,1.0,4.41,4.76,4.07,3.41,1.8,1.61,7.1,7.66,6.55,20,116.4,4.6,15.8,24.6,0.7,14.0,1.5,47.4,10.6,9.7,10.1,30.4,0.05,-0.3,-1.6,1.3,4.53,2.39,2.14
Caleb Martin,DAL,45,17,28,27.1,11447.9,2.17,1.17,1.0,4.45,4.74,4.15,3.49,1.88,1.61,7.16,7.63,6.68,29,112.8,2.8,10.5,16.6,1.0,20.4,0.5,22.5,10.1,7.6,8.2,27.9,0.076,0.6,0.0,0.7,4.64,2.5,2.14
Kyshawn George,WAS,68,15,53,26.5,11417.0,2.16,1.16,1.0,4.57,5.0,4.16,3.48,1.87,1.61,7.35,8.05,6.69,21,115.5,3.5,12.2,18.8,1.0,23.9,0.7,24.8,11.1,8.8,8.8,27.4,0.055,0.1,-0.9,1.1,4.73,2.54,2.19
Aaron Nesmith,IND,45,29,16,24.9,10558.4,2.0,1.01,0.99,4.48,4.79,4.21,3.22,1.63,1.59,7.21,7.71,6.78,25,111.5,3.1,11.8,18.4,0.8,17.7,0.4,13.7,6.9,7.6,6.4,26.3,0.081,2.9,1.9,1.0,4.66,2.36,2.3
Max Strus,CLE,50,39,11,25.4,11256.3,2.13,1.14,0.99,4.69,5.3,4.14,3.43,1.83,1.59,7.55,8.53,6.66,29,112.2,3.3,11.8,17.9,0.5,13.8,0.2,11.8,8.7,7.4,8.5,25.4,0.077,3.4,2.2,1.3,4.86,2.59,2.25
Tim Hardaway Jr.,DET,77,41,36,28.0,10806.7,2.05,1.06,0.99,4.1,4.28,3.93,3.3,1.71,1.59,6.6,6.89,6.32,33,114.2,2.1,7.5,11.2,0.5,11.2,0.1,3.2,10.4,8.2,8.7,27.1,0.068,3.5,2.1,1.4,4.24,2.2,2.04
Max Christie,DAL,78,40,38,27.3,11052.0,2.09,1.12,0.98,4.31,4.59,4.02,3.36,1.8,1.58,6.94,7.39,6.47,22,114.3,2.8,10.2,15.6,0.8,18.3,0.4,14.9,8.9,8.8,8.7,31.3,0.067,2.7,1.1,1.6,4.43,2.37,2.08
Harrison Barnes,SAS,82,34,48,27.2,11222.6,2.13,1.14,0.98,4.42,4.76,4.07,3.43,1.83,1.58,7.11,7.66,6.55,33,115.6,2.6,9.1,13.9,0.5,10.8,0.2,5.6,9.2,8.5,9.4,28.9,0.055,5.6,5.0,0.5,4.54,2.42,2.09
Naji Marshall,DAL,69,32,37,27.8,10869.8,2.06,1.08,0.98,4.14,4.36,3.93,3.32,1.74,1.58,6.66,7.02,6.32,27,114.7,3.7,12.5,19.5,1.0,22.4,0.2,5.7,10.3,9.3,8.6,31.9,0.065,3.5,2.0,1.5,4.3,2.25,2.05
Brandin Podziemski,GSW,64,38,26,26.8,11399.0,2.16,1.18,0.98,4.49,4.85,4.12,3.48,1.9,1.58,7.23,7.81,6.63,22,105.1,4.1,15.1,22.4,1.1,19.5,0.2,8.0,8.1,6.8,6.9,24.5,0.137,4.2,1.9,2.3,4.67,2.55,2.12
Jeremy Sochan,SAS,54,21,33,25.3,10597.3,2.01,1.04,0.97,4.44,4.68,4.22,3.23,1.67,1.56,7.15,7.53,6.79,22,114.5,4.2,15.4,24.1,0.8,18.4,0.5,16.4,10.5,8.6,8.2,26.9,0.06,2.7,1.7,1.1,4.6,2.38,2.22
Kentavious Caldwell-Pope,MEM,77,38,39,29.6,10981.7,2.08,1.11,0.97,3.93,4.04,3.82,3.35,1.79,1.56,6.32,6.5,6.15,32,108.6,1.8,6.4,9.4,1.3,24.0,0.4,12.5,10.6,7.1,8.5,28.5,0.112,4.6,1.5,3.1,4.07,2.18,1.9
Santi Aldama,MEM,65,38,27,25.5,10996.1,2.08,1.12,0.97,4.63,5.08,4.19,3.35,1.8,1.56,7.45,8.18,6.74,24,112.6,5.0,18.1,27.8,0.8,16.5,0.4,16.9,10.4,8.0,9.5,26.5,0.075,5.0,2.9,2.0,4.73,2.54,2.2
Aaron Gordon,DEN,51,33,18,28.4,10697.8,2.03,1.06,0.97,4.0,4.29,3.73,3.27,1.71,1.56,6.44,6.9,6.0,29,113.0,3.3,10.9,16.4,0.5,9.6,0.3,12.1,10.9,8.0,9.3,30.6,0.08,4.3,3.6,0.7,4.15,2.17,1.98
Yves Missi,NOP,73,19,54,26.8,10701.1,2.03,1.07,0.96,4.26,4.43,4.07,3.27,1.72,1.54,6.86,7.13,6.55,21,120.5,4.7,17.7,27.9,0.5,10.9,1.3,46.2,11.1,9.0,10.7,30.3,0.018,3.6,2.5,1.1,4.39,2.31,2.07
Corey Kispert,WAS,61,14,47,26.3,11382.4,2.16,1.2,0.96,4.59,5.09,4.08,3.48,1.93,1.54,7.39,8.19,6.57,26,117.1,2.4,8.4,13.0,0.4,11.5,0.2,9.0,11.2,8.6,9.4,27.0,0.043,1.1,1.0,0.1,4.76,2.64,2.11
Jalen Duren,DET,78,43,35,26.1,10385.9,1.97,1.01,0.96,4.24,4.42,4.07,3.17,1.63,1.54,6.82,7.11,6.55,21,114.0,6.8,25.9,37.9,0.7,16.3,1.1,41.6,9.5,7.2,8.3,25.8,0.066,9.2,5.9,3.4,4.37,2.25,2.12
Quentin Grimes,PHI,75,29,46,26.8,10852.2,2.06,1.1,0.96,4.29,4.62,3.97,3.32,1.77,1.54,6.9,7.44,6.39,25,118.1,3.5,12.6,20.3,1.0,22.8,0.3,9.9,9.9,9.0,8.9,28.6,0.037,3.4,2.0,1.4,4.46,2.38,2.07
Stephon Castle,SAS,81,33,48,26.7,10625.7,2.01,1.06,0.96,4.23,4.54,3.93,3.23,1.71,1.54,6.81,7.31,6.32,20,116.6,2.6,9.2,14.5,0.9,19.7,0.3,9.1,10.2,9.3,8.6,29.4,0.048,1.1,0.1,1.0,4.36,2.31,2.08
Nickeil Alexander-Walker,MIN,82,49,33,25.3,10779.4,2.04,1.08,0.96,4.49,4.8,4.2,3.28,1.74,1.54,7.23,7.72,6.76,26,108.5,2.6,9.8,15.1,0.6,14.9,0.4,16.3,8.9,7.6,6.6,25.0,0.105,4.3,2.0,2.3,4.67,2.48,2.19
Naz Reid,MIN,80,47,33,27.5,10732.4,2.03,1.07,0.96,4.13,4.38,3.89,3.27,1.72,1.54,6.65,7.05,6.26,25,108.8,4.9,17.1,25.7,0.7,16.4,0.9,30.4,9.6,7.5,7.1,27.1,0.112,5.7,2.4,3.3,4.28,2.25,2.02
Malik Beasley,DET,82,44,38,27.8,10826.0,2.05,1.09,0.96,4.1,4.35,3.85,3.3,1.75,1.54,6.6,7.0,6.2,28,110.2,2.0,6.9,10.4,0.9,19.6,0.1,1.9,10.1,8.5,8.0,26.9,0.102,4.7,2.9,1.8,4.27,2.27,1.99
Terry Rozier,MIA,64,27,37,25.9,10751.5,2.04,1.08,0.96,4.4,4.61,4.19,3.28,1.74,1.54,7.08,7.42,6.74,31,112.3,3.0,11.3,16.4,0.6,13.0,0.2,10.9,8.7,6.7,8.8,25.4,0.079,1.0,-0.5,1.5,4.56,2.42,2.14
Draymond Green,GSW,68,42,26,29.2,10736.0,2.03,1.09,0.95,3.91,4.26,3.57,3.27,1.75,1.53,6.29,6.86,5.75,35,108.8,5.0,16.8,25.1,1.5,24.4,1.0,33.2,9.9,7.6,8.5,26.7,0.119,3.7,0.3,3.4,4.03,2.16,1.89
Nic Claxton,BKN,70,20,50,26.9,10698.0,2.03,1.08,0.95,4.21,4.31,4.11,3.27,1.74,1.53,6.78,6.94,6.61,26,116.2,5.1,19.8,30.4,0.9,20.5,1.4,54.1,11.4,6.9,10.1,28.1,0.051,4.3,1.8,2.5,4.38,2.33,2.05
Taurean Prince,MIL,80,46,34,27.1,10306.6,1.95,1.0,0.95,4.08,4.17,3.99,3.14,1.61,1.53,6.57,6.71,6.42,31,114.5,3.2,11.0,16.3,1.0,23.2,0.2,6.3,9.6,8.0,9.4,27.9,0.065,3.5,1.3,2.2,4.17,2.14,2.03
Payton Pritchard,BOS,80,59,21,28.4,11100.2,2.1,1.16,0.95,4.18,4.4,3.94,3.38,1.87,1.53,6.73,7.08,6.34,27,108.9,2.6,8.7,13.3,0.9,19.8,0.2,5.8,7.3,7.8,7.1,26.5,0.112,8.6,6.1,2.5,4.28,2.37,1.94
Haywood Highsmith,MIA,74,35,39,24.6,10517.6,1.99,1.05,0.94,4.55,4.74,4.35,3.2,1.69,1.51,7.32,7.63,7.0,28,110.4,2.4,9.8,14.4,0.9,21.0,0.5,27.4,8.4,6.7,7.7,24.4,0.087,3.3,1.3,2.1,4.68,2.47,2.21
Keon Ellis,SAC,80,39,41,24.4,10139.6,1.92,0.98,0.94,4.43,4.52,4.33,3.09,1.58,1.51,7.13,7.27,6.97,25,113.2,1.9,7.9,11.6,1.5,36.4,0.8,33.2,8.6,6.2,6.9,24.2,0.067,5.0,2.7,2.2,4.56,2.33,2.23
Jordan Poole,WAS,68,15,53,29.4,11388.4,2.16,1.22,0.94,4.12,4.68,3.56,3.48,1.96,1.51,6.63,7.53,5.73,26,117.9,2.5,8.0,12.4,1.3,24.6,0.4,11.9,12.2,10.0,11.1,33.3,0.042,2.0,1.2,0.8,4.26,2.4,1.85
De'Andre Hunter,CLE,64,38,26,27.2,10713.8,2.03,1.09,0.94,4.14,4.68,3.66,3.27,1.75,1.51,6.66,7.53,5.89,27,113.9,3.3,11.7,18.1,0.8,15.1,0.2,7.8,10.8,8.4,8.9,28.6,0.072,4.4,3.0,1.4,4.33,2.32,2.0
Klay Thompson,DAL,72,33,39,27.3,10899.5,2.06,1.13,0.93,4.28,4.73,3.84,3.32,1.82,1.5,6.89,7.61,6.18,35,115.2,2.8,9.7,15.0,0.7,16.3,0.4,12.4,9.6,9.0,9.1,30.5,0.059,1.8,0.7,1.1,4.38,2.4,1.98
Guerschon Yabusele,PHI,70,23,47,27.1,10562.5,2.0,1.07,0.93,4.12,4.3,3.94,3.22,1.72,1.5,6.63,6.92,6.34,29,116.7,3.7,14.9,23.8,0.8,16.1,0.3,16.3,8.9,8.4,8.2,29.2,0.046,3.9,2.9,1.0,4.28,2.28,1.99
Justin Edwards,PHI,44,11,33,26.2,10464.2,1.98,1.05,0.93,4.22,4.42,4.02,3.19,1.69,1.5,6.79,7.11,6.47,21,123.2,2.3,9.4,15.7,1.0,21.6,0.4,15.7,9.6,9.8,9.0,30.2,-0.003,0.9,0.4,0.5,4.38,2.32,2.06
Jalen Wilson,BKN,79,25,54,25.7,10741.3,2.03,1.1,0.93,4.41,4.61,4.2,3.27,1.77,1.5,7.1,7.42,6.76,24,113.7,2.5,10.2,15.5,0.5,12.0,0.1,2.9,10.3,6.7,8.3,25.8,0.067,1.9,0.9,1.0,4.58,2.48,2.1
Patrick Williams,CHI,63,31,32,25.0,10277.7,1.95,1.03,0.92,4.35,4.8,3.94,3.14,1.66,1.48,7.0,7.72,6.34,23,113.5,3.1,11.3,16.5,0.8,18.1,0.5,23.2,10.0,7.8,7.6,29.0,0.068,0.4,-0.9,1.3,4.52,2.39,2.13
Donte DiVincenzo,MIN,62,37,25,25.9,10457.0,1.98,1.06,0.92,4.26,4.64,3.89,3.19,1.71,1.48,6.86,7.47,6.26,28,109.1,3.2,11.5,17.5,1.2,25.6,0.3,9.9,10.0,7.8,7.3,26.1,0.104,3.9,1.6,2.2,4.43,2.38,2.06
Ziaire Williams,BKN,63,22,41,24.5,10069.3,1.91,0.98,0.92,4.34,4.34,4.35,3.07,1.58,1.48,6.98,6.98,7.0,23,116.2,3.6,15.4,23.8,1.0,24.4,0.4,18.4,9.4,6.6,8.6,25.6,0.047,2.1,0.5,1.6,4.51,2.32,2.17
Russell Westbrook,DEN,75,43,32,27.9,10229.8,1.94,1.03,0.91,3.93,4.36,3.54,3.12,1.66,1.46,6.32,7.02,5.7,36,116.2,3.6,11.9,18.2,1.4,28.9,0.5,16.4,11.0,8.9,10.4,30.1,0.054,1.9,-0.1,2.1,4.03,2.14,1.88
Gary Trent Jr.,MIL,74,44,30,25.6,9663.2,1.83,0.92,0.91,4.0,4.09,3.92,2.95,1.48,1.46,6.44,6.58,6.31,26,114.0,2.0,7.4,11.1,1.0,25.4,0.1,2.7,8.3,8.2,8.1,26.2,0.065,3.3,1.6,1.7,4.15,2.08,2.05
Keon Johnson,BKN,79,25,54,24.4,10151.9,1.92,1.01,0.91,4.39,4.5,4.27,3.09,1.63,1.46,7.07,7.24,6.87,23,114.4,3.0,12.5,18.9,1.0,26.1,0.4,17.1,10.0,6.6,7.9,25.5,0.06,0.5,-1.3,1.9,4.56,2.4,2.15
Kris Dunn,LAC,74,45,29,24.1,10093.1,1.91,1.0,0.91,4.46,4.63,4.28,3.07,1.61,1.46,7.18,7.45,6.89,31,106.0,2.7,11.1,16.1,1.7,32.8,0.4,17.3,9.1,6.0,7.6,22.8,0.117,4.0,0.8,3.2,4.59,2.4,2.18
Tyus Jones,PHX,81,36,45,26.8,10823.7,2.05,1.14,0.91,4.3,4.59,4.0,3.3,1.83,1.46,6.92,7.39,6.44,29,116.1,1.9,6.9,10.5,0.9,21.6,0.1,3.9,9.8,8.1,9.9,28.4,0.052,4.4,4.0,0.3,4.43,2.46,1.96
Mark Williams,CHA,44,9,35,26.6,10273.0,1.95,1.03,0.91,4.14,4.34,3.94,3.14,1.66,1.46,6.66,6.98,6.34,23,118.9,7.2,25.5,37.6,0.7,20.1,1.2,49.5,10.5,7.9,10.8,28.5,0.03,4.7,3.1,1.6,4.25,2.25,1.98
Al Horford,BOS,60,44,16,27.6,10112.1,1.92,1.01,0.91,3.98,4.04,3.91,3.09,1.63,1.46,6.41,6.5,6.29,39,108.1,4.8,16.5,24.0,0.6,15.9,0.9,28.3,6.8,6.7,7.7,26.7,0.117,4.4,2.0,2.4,4.03,2.13,1.9
Bobby Portis,MIL,49,30,19,25.4,10175.6,1.93,1.02,0.91,4.26,4.51,4.01,3.11,1.64,1.46,6.86,7.26,6.45,30,110.8,6.6,23.5,34.6,0.7,17.7,0.5,22.6,8.8,7.4,7.0,24.7,0.088,2.7,0.9,1.9,4.41,2.32,2.07
Jordan Hawkins,NOP,56,18,38,23.6,10048.4,1.9,1.0,0.9,4.51,4.77,4.24,3.06,1.61,1.45,7.26,7.68,6.82,23,118.1,2.4,9.7,15.6,0.5,13.6,0.4,14.8,9.0,9.3,9.2,26.8,0.032,-0.5,-0.7,0.1,4.67,2.46,2.21
Caris LeVert,ATL,64,46,18,24.9,10297.0,1.95,1.05,0.9,4.34,4.83,3.88,3.14,1.69,1.45,6.98,7.77,6.24,30,113.4,2.5,9.6,14.8,0.9,21.0,0.5,21.7,8.2,7.9,7.2,25.2,0.067,4.0,2.4,1.6,4.54,2.44,2.1
Kevin Huerter,CHI,69,39,30,24.3,10236.9,1.94,1.04,0.9,4.48,4.97,4.02,3.12,1.67,1.45,7.21,8.0,6.47,26,111.7,2.5,9.8,14.7,1.0,24.0,0.3,15.4,9.3,7.4,6.1,25.3,0.076,1.9,0.6,1.3,4.62,2.47,2.15
Kristaps Porziņģis,BOS,42,30,12,28.8,10252.7,1.94,1.04,0.9,3.9,4.07,3.72,3.12,1.67,1.45,6.28,6.55,5.99,29,110.3,5.1,16.3,23.4,0.7,19.9,1.5,42.6,8.4,7.7,9.5,26.0,0.105,5.3,3.3,2.0,3.9,2.09,1.81
Peyton Watson,DEN,68,40,28,24.4,9732.6,1.84,0.94,0.9,4.31,4.51,4.12,2.96,1.51,1.45,6.94,7.26,6.63,22,113.9,2.7,10.3,15.8,0.7,17.0,1.4,45.1,9.2,7.6,8.8,25.3,0.063,2.5,1.0,1.5,4.37,2.23,2.14
Jonathan Kuminga,GSW,47,28,19,24.3,10296.5,1.95,1.05,0.9,4.49,4.91,4.09,3.14,1.69,1.45,7.23,7.9,6.58,22,108.9,3.4,13.4,20.3,0.8,17.4,0.4,16.3,8.3,6.7,6.5,23.4,0.098,1.9,0.5,1.5,4.65,2.5,2.15
Nikola Jović,MIA,46,21,25,25.1,10298.3,1.95,1.05,0.9,4.32,4.6,4.04,3.14,1.69,1.45,6.95,7.4,6.5,22,110.7,3.3,12.7,19.3,0.8,21.7,0.3,15.1,8.7,6.7,7.9,25.5,0.088,2.5,1.2,1.3,4.5,2.42,2.08
Jose Alvarado,NOP,56,19,37,24.4,10036.7,1.9,1.01,0.89,4.37,4.59,4.14,3.06,1.63,1.43,7.03,7.39,6.66,27,117.1,1.9,7.7,12.0,1.3,32.2,0.3,9.3,9.2,8.5,8.8,25.0,0.04,1.2,0.7,0.5,4.51,2.4,2.11
Tari Eason,HOU,57,36,21,24.9,9974.4,1.89,1.0,0.89,4.22,4.4,4.03,3.04,1.61,1.43,6.79,7.08,6.49,24,109.2,4.1,15.8,23.9,1.7,35.1,0.9,33.6,8.6,7.0,7.2,25.8,0.1,5.0,2.1,2.9,4.4,2.33,2.07
Miles McBride,NYK,64,39,25,24.9,10085.4,1.91,1.02,0.89,4.36,4.59,4.13,3.07,1.64,1.43,7.02,7.39,6.65,24,109.7,1.8,6.9,10.8,1.0,22.1,0.3,11.3,7.9,6.4,7.2,24.7,0.095,3.2,1.8,1.4,4.44,2.37,2.07
Collin Sexton,UTA,63,14,49,27.9,10668.2,2.02,1.13,0.89,4.04,4.34,3.71,3.25,1.82,1.43,6.5,6.98,5.97,26,117.9,1.8,6.0,9.1,0.7,21.1,0.1,3.4,12.9,8.6,12.2,30.3,0.039,2.4,2.5,-0.1,4.19,2.35,1.85
Aaron Wiggins,OKC,76,62,14,22.9,10031.2,1.9,1.01,0.89,4.64,5.08,4.22,3.06,1.63,1.43,7.47,8.18,6.79,26,106.6,2.8,11.3,17.6,0.8,15.6,0.2,9.8,5.7,7.9,5.4,21.4,0.107,5.4,2.7,2.7,4.81,2.56,2.25
Derrick Jones Jr.,LAC,77,48,29,24.3,9791.4,1.85,0.97,0.88,4.27,4.41,4.13,2.98,1.56,1.42,6.87,7.1,6.65,28,108.7,2.2,9.2,13.2,1.0,21.2,0.4,19.3,8.7,6.0,8.1,23.8,0.099,4.7,2.1,2.6,4.41,2.31,2.1
Isaiah Collier,UTA,71,14,57,25.9,10357.5,1.96,1.08,0.88,4.23,4.58,3.85,3.15,1.74,1.42,6.81,7.37,6.2,20,118.6,2.9,10.4,16.1,0.9,25.0,0.2,9.6,11.4,8.2,9.7,27.9,0.031,-0.8,-1.3,0.5,4.38,2.42,1.97
Bogdan Bogdanović,LAC,54,33,21,25.0,10151.6,1.92,1.04,0.88,4.31,4.71,3.92,3.09,1.67,1.42,6.94,7.58,6.31,32,110.0,2.5,9.8,14.2,0.8,16.9,0.2,8.7,8.5,6.0,8.2,23.4,0.094,1.9,0.7,1.2,4.45,2.4,2.04
Julian Champagnie,SAS,82,34,48,23.6,9728.8,1.84,0.97,0.87,4.38,4.63,4.14,2.96,1.56,1.4,7.05,7.45,6.66,24,114.5,3.1,12.1,18.9,0.7,18.3,0.4,14.4,8.3,7.9,8.2,24.0,0.057,2.5,1.3,1.2,4.52,2.38,2.14
Ausar Thompson,DET,59,34,25,22.5,9328.9,1.77,0.9,0.86,4.41,4.62,4.21,2.85,1.45,1.38,7.1,7.44,6.78,22,109.2,3.3,13.9,21.0,1.7,38.6,0.7,27.4,8.1,6.8,6.7,21.4,0.09,3.8,1.5,2.4,4.56,2.32,2.21
Ja'Kobe Walter,TOR,52,19,33,21.2,9404.8,1.78,0.93,0.86,4.67,4.98,4.38,2.86,1.5,1.38,7.52,8.01,7.05,20,111.1,1.9,9.2,14.2,0.8,21.8,0.2,9.7,7.6,6.5,6.8,23.5,0.072,1.2,0.3,0.9,4.86,2.55,2.34
Buddy Hield,GSW,82,48,34,22.7,10004.8,1.89,1.04,0.86,4.67,5.07,4.26,3.04,1.67,1.38,7.52,8.16,6.86,32,110.1,2.6,11.1,17.1,0.8,20.3,0.3,13.2,7.5,6.2,6.9,22.9,0.083,2.8,0.6,2.2,4.82,2.65,2.19
Keldon Johnson,SAS,77,31,46,23.9,9756.6,1.85,0.99,0.86,4.31,4.62,4.0,2.98,1.59,1.38,6.94,7.44,6.44,25,115.9,3.4,13.6,21.7,0.6,14.4,0.3,10.7,8.6,8.6,7.1,25.3,0.048,3.2,2.2,1.0,4.49,2.39,2.08
Brandon Boston,NOP,42,8,34,23.6,9530.3,1.8,0.95,0.86,4.3,4.43,4.16,2.9,1.53,1.38,6.92,7.13,6.69,23,114.8,2.5,10.7,17.3,1.3,25.2,0.2,9.9,9.3,7.2,9.0,26.3,0.054,,,,4.42,2.33,2.11
