Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Ricky Council IV,PHI,73,16,57,17.1,7078.4,1.34,0.73,0.61,4.35,4.69,4.0,2.16,1.17,0.98,7.0,7.55,6.44,23,116.0,2.2,13.0,20.9,0.4,15.1,0.2,10.0,5.3,5.7,6.1,18.6,0.034,0.6,0.1,0.5,4.55,2.46,2.06
Mason Plumlee,PHX,74,33,41,17.6,7381.7,1.4,0.79,0.61,4.45,4.81,4.05,2.25,1.27,0.98,7.16,7.74,6.52,35,115.0,4.6,25.3,38.6,0.4,15.9,0.6,36.2,6.7,4.9,6.4,17.6,0.04,3.7,2.4,1.3,4.6,2.6,2.0
Jared Butler,PHI,60,6,54,17.4,7069.9,1.34,0.73,0.61,4.29,4.72,3.88,2.16,1.17,0.98,6.9,7.6,6.24,24,114.5,1.4,7.6,12.0,0.7,22.2,0.2,10.1,6.1,6.1,5.9,17.3,0.043,1.4,1.0,0.4,4.47,2.42,2.03
Dalano Banton,POR,67,28,39,16.7,6824.9,1.29,0.68,0.61,4.31,4.63,4.0,2.08,1.09,0.98,6.94,7.45,6.44,25,111.8,1.6,8.8,14.6,0.6,24.4,0.5,23.4,6.7,5.5,6.1,17.8,0.054,0.8,-0.3,1.1,4.48,2.35,2.11
Quinten Post,GSW,42,26,16,16.3,6814.6,1.29,0.69,0.6,4.44,4.63,4.25,2.08,1.11,0.97,7.15,7.45,6.84,25,109.1,2.7,16.6,24.4,0.4,13.7,0.4,25.7,5.3,3.8,5.8,14.4,0.064,1.7,0.8,0.9,4.59,2.45,2.14
Ronald Holland II,DET,81,44,37,15.6,6459.0,1.22,0.62,0.6,4.36,4.45,4.27,1.96,1.0,0.97,7.02,7.16,6.87,19,110.9,2.2,13.6,21.2,0.6,22.6,0.2,13.1,6.1,5.1,4.8,15.1,0.054,,,,4.52,2.31,2.24
Kenrich Williams,OKC,69,58,11,16.4,6512.2,1.23,0.64,0.59,4.2,4.48,3.93,1.98,1.03,0.95,6.76,7.21,6.32,30,104.1,2.6,14.8,22.2,0.6,19.5,0.1,8.8,4.4,4.9,4.0,14.2,0.088,3.6,1.6,1.9,4.35,2.26,2.09
Oso Ighodaro,PHX,61,25,36,17.1,6848.1,1.3,0.7,0.59,4.23,4.46,3.98,2.09,1.13,0.95,6.81,7.18,6.41,22,110.0,2.6,14.3,22.4,0.5,15.3,0.5,26.1,5.9,5.0,5.2,17.2,0.063,1.6,1.1,0.6,4.4,2.38,2.0
Andre Jackson Jr.,MIL,67,39,28,14.6,6607.3,1.25,0.66,0.59,4.83,5.01,4.65,2.01,1.06,0.95,7.77,8.06,7.48,23,112.1,1.7,11.4,16.8,0.5,21.8,0.2,12.5,5.2,4.0,4.8,14.3,0.045,1.2,0.1,1.0,4.96,2.61,2.34
Adem Bona,PHI,58,12,46,15.6,6435.1,1.22,0.64,0.58,4.35,4.53,4.16,1.96,1.03,0.93,7.0,7.29,6.69,22,114.0,2.6,16.4,25.8,0.4,16.6,1.2,60.0,5.9,5.3,5.2,15.8,0.04,2.3,1.4,0.9,4.52,2.38,2.15
